timestamp,open,high,low,close,adjusted close,volume,dividend amount
2022-04-22,269.3000,269.3000,242.5000,253.2500,247.7732,18104440,0.0000
2022-04-13,281.0000,288.5000,271.7000,273.0500,267.1450,11233609,0.0000
2022-04-08,247.3500,298.0000,246.1000,278.1500,272.1347,49570698,0.0000
2022-04-01,242.8000,246.2500,237.2000,245.4000,240.0930,9439533,0.0000
2022-03-25,233.0000,244.2000,226.3000,241.3500,236.1306,11553887,0.0000
2022-03-17,232.0000,234.6500,225.3500,231.7500,226.7382,4572398,0.0000
2022-03-11,214.3500,235.9500,212.2500,233.1500,228.1079,16470757,0.0000
2022-03-04,217.7000,230.5000,214.1000,221.4500,216.6609,11696941,0.0000
2022-02-25,224.1000,227.5500,203.3000,220.0500,215.2912,23033770,0.0000
2022-02-18,225.4000,236.7500,215.0000,225.8000,220.9168,19516537,0.0000
2022-02-11,256.4000,256.8000,230.3500,232.3000,227.2763,20556453,0.0000
2022-02-04,247.9000,257.8500,244.7000,254.3500,248.8494,21252826,0.0000
2022-01-28,242.1000,249.9000,222.8000,244.0500,238.7722,18765483,0.0000
2022-01-21,245.9500,252.0500,236.3500,242.0500,236.8154,16432188,0.0000
2022-01-14,231.3000,248.5000,230.4000,244.2000,238.9189,12652033,0.0000
2022-01-07,221.4000,232.9000,216.1000,229.7000,224.7325,9992794,0.0000
2021-12-31,216.2500,223.2000,213.7500,220.9000,216.1228,8076600,0.0000
2021-12-24,210.6500,221.2500,202.8000,216.8500,212.1604,15202779,0.0000
2021-12-17,230.1000,236.5500,214.0000,215.8000,211.1331,15682200,0.0000
2021-12-10,225.3000,231.0000,220.2000,227.8500,222.9225,12698042,0.0000
2021-12-03,224.1500,231.9000,213.2000,225.6000,220.7212,30009513,0.0000
2021-11-26,239.9000,246.6500,222.0500,227.3000,222.3844,29862530,0.0000
2021-11-18,242.0000,252.5000,232.4500,236.9500,231.8257,24533616,0.0000
2021-11-12,233.2000,248.0000,228.8000,239.9500,234.7608,31851354,0.0000
2021-11-03,219.8000,234.9500,214.4000,228.7000,223.7541,18782162,0.0000
2021-10-29,225.0000,232.8500,201.2000,214.2500,209.6166,49446150,0.0000
2021-10-22,232.0000,269.7000,216.1000,222.1500,217.3458,84116246,0.0000
2021-10-14,178.4500,236.2500,177.1000,222.4500,217.6393,59131211,0.0000
2021-10-08,166.4500,184.8000,164.0000,176.9000,173.0744,42629729,0.0000
2021-10-01,139.4000,165.0000,136.7500,163.7500,160.2087,37692586,0.0000
2021-09-24,137.8000,145.4000,131.2000,139.1000,136.0918,24891056,0.0000
2021-09-17,133.0000,142.3000,130.4000,137.9000,134.9178,15341519,0.0000
