"dttm","vale1","vole"
"2025-03-05","61.94","0"
"2025-03-05","61.94","0"
"2025-03-05","62.05","500"
"2025-03-05","61.96","500"
"2025-03-05","61.96","0"
"2025-03-05","61.96","0"
"2025-03-05","62.02","50"
"2025-03-05","62.02","0"
"2025-03-05","62.02","0"
"2025-03-05","62.04","54"
"2025-03-05","62.05","8"
"2025-03-05","62.05","0"
"2025-03-05","62.05","0"
"2025-03-05","62.00","1"
"2025-03-05","61.96","1"
"2025-03-05","61.96","5"
"2025-03-05","61.94","1"
"2025-03-05","61.90","1489"
"2025-03-05","61.90","0"
"2025-03-05","61.95","90"
"2025-03-05","61.89","2"
"2025-03-05","61.95","5"
"2025-03-05","61.95","0"
"2025-03-05","61.95","0"
"2025-03-05","61.95","0"
"2025-03-05","61.87","25"
"2025-03-05","61.87","0"
"2025-03-05","61.87","0"
"2025-03-05","61.87","0"
"2025-03-05","61.89","1"
